,experience_level,employment_type,job_title,company_location,company_size
756,SE,FT,Data Engineer,US,M
733,SE,FT,Data Analyst,US,M
349,EN,FT,Applied Scientist,US,L
224,SE,FT,Data Engineer,US,M
3197,MI,FT,Data Analyst,GB,M
2014,SE,FT,Data Analyst,ES,M
924,SE,FT,Data Engineer,US,M
97,SE,FT,Data Engineer,US,M
2438,MI,FT,Data Scientist,US,M
2574,SE,FT,Data Engineer,US,M
2704,SE,FT,Machine Learning Engineer,CA,M
350,SE,FT,Data Engineer,US,M
1681,SE,FT,Data Scientist,US,M
2289,SE,FT,Applied Scientist,US,M
2558,SE,FT,Data Engineer,US,M
1770,SE,FT,Machine Learning Engineer,US,M
1652,SE,FT,Data Scientist,US,M
698,SE,FT,Data Scientist,US,M
89,SE,FT,Data Engineer,US,M
1020,MI,FT,Data Engineer,US,M
3339,MI,FT,Data Analyst,CA,M
2694,SE,FT,Data Engineer,US,M
1058,SE,FT,Data Analyst,US,M
593,SE,FT,Data Engineer,US,M
1413,SE,FT,Data Analyst,US,M
3582,SE,FT,Lead Data Engineer,US,L
1737,MI,FT,Data Engineer,US,M
3288,SE,FT,Data Analyst,CA,M
3350,MI,FT,Data Engineer,US,M
367,MI,FT,Research Scientist,GB,M
338,SE,FT,Data Analyst,CA,M
2364,SE,FT,Data Analyst,US,M
808,SE,FT,BI Analyst,US,M
3126,MI,FT,AI Scientist,US,M
1423,SE,FT,Data Analyst,US,M
1278,MI,FT,Data Analyst,GB,M
3620,MI,PT,Data Engineer,NL,L
1371,MI,FT,Data Engineer,US,M
552,MI,FT,Data Engineer,US,M
902,SE,FT,Data Scientist,US,M
3253,SE,FT,Data Scientist,US,L
1464,MI,FT,Data Science Manager,US,M
173,SE,FT,Applied Scientist,US,L
1563,SE,FT,Data Analyst,ES,M
226,SE,FT,Data Engineer,US,M
1439,SE,FT,Data Engineer,US,M
899,SE,FT,Data Scientist,US,M
3150,SE,FT,ML Engineer,US,M
1358,SE,FT,Data Scientist,US,M
2791,SE,FT,Data Architect,US,L
3106,SE,FT,Machine Learning Engineer,US,M
3378,SE,FT,Data Scientist,US,M
1457,SE,FT,Data Engineer,US,M
2648,MI,FT,Data Analyst,US,M
1869,MI,FT,Data Engineer,US,M
2638,SE,FT,Data Analyst,US,M
3583,SE,FT,Data Engineer,US,L
1254,SE,FT,Data Engineer,US,M
2867,MI,FT,Data Analyst,US,L
920,SE,FT,Data Scientist,US,M
2561,SE,FT,Data Analyst,US,M
1412,EN,FT,Big Data Engineer,SE,S
2264,SE,FT,Data Scientist,US,M
847,SE,FT,Machine Learning Engineer,US,M
346,SE,FT,Data Scientist,US,M
154,MI,FT,Data Engineer,US,M
3189,SE,FT,Data Engineer,US,M
1806,SE,FT,Data Engineer,US,M
3369,EN,FT,Data Analyst,CA,M
2253,EN,FL,Machine Learning Engineer,IR,M
2518,SE,FT,Machine Learning Engineer,US,M
3577,MI,FT,Computer Vision Software Engineer,US,S
690,MI,FT,Data Scientist,US,M
163,SE,FT,Applied Scientist,US,L
2548,MI,FT,Analytics Engineer,BR,M
701,SE,FT,Applied Scientist,US,L
1546,MI,FT,Applied Data Scientist,KE,S
1470,SE,FT,Analytics Engineer,US,M
2008,MI,FT,Data Engineer,US,M
2840,EN,FT,Data Analyst,BR,L
3625,SE,FT,AI Scientist,ES,L
1509,SE,FT,Data Engineer,US,M
1506,MI,FT,Data Engineer,US,M
1257,EN,FT,Data Engineer,VN,L
84,MI,FT,Machine Learning Engineer,NL,L
1237,SE,FT,Data Analyst,US,M
640,SE,FT,Data Scientist,US,M
1604,SE,FT,Machine Learning Engineer,LV,M
3088,SE,FT,Data Engineer,US,L
633,SE,FT,Data Scientist,US,M
1636,SE,FT,Data Scientist,US,M
244,SE,FT,Data Scientist,US,M
2658,SE,FT,Data Engineer,US,M
316,SE,FT,Data Manager,US,M
1825,SE,FT,Data Engineer,US,M
675,SE,FT,Data Architect,GB,M
1114,SE,FT,Data Engineer,US,M
1945,SE,FT,Data Scientist,US,M
1362,SE,FT,Machine Learning Engineer,US,M
1628,MI,FT,Machine Learning Engineer,US,M
49,SE,FT,Data Scientist,US,M
3002,SE,FT,Data Engineer,US,M
1663,SE,FT,Data Architect,US,M
329,SE,FT,Data Architect,US,M
1955,SE,FT,Data Analyst,US,M
2801,SE,FT,Data Engineer,US,M
1445,SE,FT,Data Scientist,EE,L
3320,SE,FT,Data Scientist,US,M
2674,SE,FT,Applied Scientist,US,M
3439,MI,FT,Data Scientist,US,M
2943,SE,FT,Lead Data Scientist,PT,S
1338,MI,FT,Data Engineer,ES,M
372,MI,FT,Data Specialist,US,M
1598,SE,FT,Data Science Consultant,US,M
3713,SE,FT,Data Scientist,US,L
1564,SE,FT,Data Analyst,ES,M
1077,SE,FT,Data Engineer,US,M
2458,SE,FT,Data Engineer,US,M
1886,SE,FT,Data Scientist,US,M
2065,SE,FT,Data Scientist,US,M
1973,SE,FT,Data Analyst,US,M
1695,SE,FT,Applied Scientist,US,L
2749,SE,FT,Data Scientist,US,M
1633,SE,FT,Data Scientist,US,M
2048,SE,FT,Data Architect,US,M
3420,EX,FT,Director of Data Science,CA,L
382,SE,FT,Data Analyst,US,M
543,SE,FT,Data Analyst,US,M
1124,SE,FT,Machine Learning Engineer,US,M
882,SE,FT,Data Analyst,US,M
